species,filename,source,directory,md5_hash,is_duplicate
Amphichaetodon howensis,Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,FishBase,images,4668e65ae04ccffc6c647217e11b6066,no
Amphichaetodon melbae,Amphichaetodon_melbae_FishBase_Ammel_u0.jpg,FishBase,images,5dfb988be362fbf71ecda07d743c9dc3,no
Chaetodon adiergastos,Chaetodon_adiergastos_FishPix_28455AF.jpg,FishPix,images,614234c75c75d65028471def2a554698,no
Chaetodon andamanensis,Chaetodon_andamanensis_FishPix_88987AF.jpg,FishPix,images,b02152a0549318397577b8794f9a37b0,no
Chaetodon argentatus,Chaetodon_argentatus_FishPix_2068AF.jpg,FishPix,images,c758865bb096e6ecd947c25d9a0ef9a8,no
Chaetodon assarius,Chaetodon_assarius_FishBase_Chass_u0.jpg,FishBase,images,dbd5f1257778f7c68022b1c5393150c7,no
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishBase_Chaur_ui.jpg,FishBase,images,8828ca4cdd2dc364c28bca336fdf6d04,no
Chaetodon auriga,Chaetodon_auriga_FishPix_12061AF.jpg,FishPix,images,9c906ffdc953914f0bf164a03531c604,no
Chaetodon auripes,Chaetodon_auripes_FishPix_140765AF.jpg,FishPix,images,705e619d898ecb91639cda618a85edba,no
Chaetodon austriacus,Chaetodon_austriacus_FishBase_Chaus_u1.jpg,FishBase,images,183f04d9511fb172ae3e3009b25900a2,no
Chaetodon baronessa,Chaetodon_baronessa_FishPix_23026AF.jpg,FishPix,images,bb122d4ef96e06680315aad2234b082f,no
Chaetodon bennetti,Chaetodon_bennetti_FishPix_16721AF.jpg,FishPix,images,bf1787831242150842e23d8f8d2573b8,no
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,FishBase,images,6cd3682ea70fd2cb3efc6703bd5ea2ea,no
Chaetodon burgessi,Chaetodon_burgessi_FishPix_55799AF.jpg,FishPix,images,df44b2a8cd5c57615057bb441a06bed4,no
