filename,species,source,whole_mean_depth,whole_median_depth,whole_std_depth,whole_min_depth,whole_max_depth,body_mean_depth,body_median_depth,depth_range_m
Amphichaetodon_howensis_Bishop_-1464681654.jpg,Amphichaetodon howensis,BishopMuseum,7.83,10.97,3.97,2.0,12.0,3.81,3.56,12.0
Amphichaetodon_howensis_Bishop_-369771762.jpg,Amphichaetodon howensis,BishopMuseum,7.8,10.93,3.87,2.0,12.0,4.07,3.83,12.0
Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,Amphichaetodon howensis,BishopMuseum,7.24,7.82,3.28,2.0,12.0,4.03,4.01,12.0
Amphichaetodon_howensis_Bishop_472868867.jpg,Amphichaetodon howensis,BishopMuseum,7.56,10.76,4.0,2.0,12.0,3.47,3.23,12.0
Amphichaetodon_howensis_FishBase_Amhow_u0.jpg,Amphichaetodon howensis,FishBase,8.45,10.34,3.6,2.0,12.0,3.34,2.91,12.0
Amphichaetodon_howensis_FishBase_Amhow_u1.jpg,Amphichaetodon howensis,FishBase,7.52,10.67,3.96,2.0,12.0,3.5,3.21,12.0
Amphichaetodon_howensis_FishBase_Amhow_u2.jpg,Amphichaetodon howensis,FishBase,7.81,10.95,3.99,2.0,12.0,3.74,3.5,12.0
Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,Amphichaetodon howensis,FishBase,7.73,10.88,3.91,2.0,12.0,3.96,3.68,12.0
Amphichaetodon_howensis_FishWise_030360F000024W000002.jpg,Amphichaetodon howensis,FishWise,8.66,10.94,3.65,2.0,12.0,3.47,3.0,12.0
Amphichaetodon_howensis_FishWise_030360F000024W000003.jpg,Amphichaetodon howensis,FishWise,7.82,11.02,4.02,2.0,12.0,3.71,3.44,12.0
Amphichaetodon_howensis_FishWise_030360F000048W000001.gif,Amphichaetodon howensis,FishWise,8.11,9.55,3.06,2.0,12.0,4.25,3.96,12.0
Amphichaetodon_howensis_FishWise_030360F007696W000006.jpg,Amphichaetodon howensis,FishWise,8.98,10.83,3.51,2.0,12.0,4.19,3.81,12.0
Amphichaetodon_howensis_FishWise_030360F007696W000007.jpg,Amphichaetodon howensis,FishWise,9.45,10.67,2.96,2.0,12.0,4.34,3.99,12.0
Amphichaetodon_howensis_FishWise_030360F008947W000008.JPG,Amphichaetodon howensis,FishWise,8.45,9.57,2.88,2.0,12.0,3.82,3.55,12.0
Amphichaetodon_howensis_iNaturalist_11105384.jpg,Amphichaetodon howensis,iNaturalist,9.24,10.97,3.27,2.0,12.0,4.4,3.94,12.0
Amphichaetodon_howensis_iNaturalist_267486174.jpg,Amphichaetodon howensis,iNaturalist,8.15,8.43,1.77,2.0,12.0,,,12.0
Amphichaetodon_howensis_iNaturalist_33167253.jpg,Amphichaetodon howensis,iNaturalist,10.01,10.59,1.98,2.0,12.0,6.65,7.48,12.0
Amphichaetodon_howensis_iNaturalist_33719286.jpg,Amphichaetodon howensis,iNaturalist,7.77,7.89,2.97,2.0,12.0,5.31,3.86,12.0
Amphichaetodon_howensis_iNaturalist_33719401.jpg,Amphichaetodon howensis,iNaturalist,7.8,7.79,2.54,2.0,12.0,8.88,8.31,12.0
Amphichaetodon_howensis_iNaturalist_33719403.jpg,Amphichaetodon howensis,iNaturalist,7.97,8.1,2.71,2.0,12.0,4.11,3.7,12.0
Amphichaetodon_howensis_iNaturalist_384666682.jpg,Amphichaetodon howensis,iNaturalist,9.73,9.97,2.19,2.0,12.0,3.98,3.35,12.0
Amphichaetodon_howensis_iNaturalist_392179799.jpg,Amphichaetodon howensis,iNaturalist,8.79,9.41,2.62,2.0,12.0,7.6,9.07,12.0
Amphichaetodon_howensis_iNaturalist_405964908.jpg,Amphichaetodon howensis,iNaturalist,8.9,9.3,2.56,2.0,12.0,2.87,2.5,12.0
Amphichaetodon_howensis_iNaturalist_593017609.jpg,Amphichaetodon howensis,iNaturalist,8.62,9.02,2.4,2.0,12.0,3.53,2.79,12.0
Amphichaetodon_melbae_Bishop_-1115161976.jpg,Amphichaetodon melbae,BishopMuseum,7.87,10.86,3.99,2.0,12.0,3.79,3.5,12.0
Amphichaetodon_melbae_FishBase_Ammel_u0.jpg,Amphichaetodon melbae,FishBase,7.93,10.77,3.9,2.0,12.0,3.92,3.64,12.0
Amphichaetodon_melbae_FishWise_043655F000024W000001.jpg,Amphichaetodon melbae,FishWise,7.93,11.05,4.04,2.0,12.0,3.73,3.47,12.0
Amphichaetodon_melbae_iNaturalist_462963831.jpg,Amphichaetodon melbae,iNaturalist,8.64,9.01,2.27,2.0,12.0,2.72,2.47,12.0
Amphichaetodon_melbae_iNaturalist_510100646.jpg,Amphichaetodon melbae,iNaturalist,7.99,7.92,2.46,2.0,12.0,5.9,5.49,12.0
Amphichaetodon_melbae_iNaturalist_510100653.jpg,Amphichaetodon melbae,iNaturalist,7.64,8.67,3.09,2.0,12.0,3.33,2.77,12.0
Amphichaetodon_melbae_iNaturalist_577502906.jpg,Amphichaetodon melbae,iNaturalist,4.3,4.28,1.23,2.0,12.0,4.14,4.14,12.0
Chaetodon_adiergastos_Bishop_1979529705.jpg,Chaetodon adiergastos,BishopMuseum,6.65,4.42,3.46,2.0,12.0,3.8,3.75,12.0
Chaetodon_adiergastos_FishBaseUser_1354818522_86.28.236.182.jpg,Chaetodon adiergastos,FishBaseUser,7.76,9.68,3.41,2.0,12.0,4.71,3.55,12.0
Chaetodon_adiergastos_FishBaseUser_1508793657_172.68.102.54.jpg,Chaetodon adiergastos,FishBaseUser,8.92,9.9,3.03,2.0,12.0,5.35,4.54,12.0
Chaetodon_adiergastos_FishBaseUser_1577140639_172.68.102.128.jpg,Chaetodon adiergastos,FishBaseUser,9.43,10.33,2.77,2.0,12.0,3.2,3.23,12.0
Chaetodon_adiergastos_FishBaseUser_1577140803_172.68.102.30.jpg,Chaetodon adiergastos,FishBaseUser,8.18,8.81,2.86,2.0,12.0,2.53,2.46,12.0
