filename,species,directory,mask_area,species_median_area,area_ratio,aspect_ratio,species_median_aspect,aspect_z,depth_length_ratio,species_median_dl_ratio,dl_ratio_z,mean_L,species_mean_L,L_z,mean_chroma,species_mean_chroma,chroma_z,larva_score,flagged
Amphichaetodon_howensis_Bishop_-1464681654.jpg,Amphichaetodon howensis,images_bishop,196605,108641,1.81,1.154,1.119,0.1,0.851,0.882,0.11,29.05,38.65,-0.98,7.11,20.45,1.04,0.019,no
Amphichaetodon_howensis_Bishop_-369771762.jpg,Amphichaetodon howensis,images_bishop,200422,108641,1.845,1.119,1.119,0.0,0.881,0.882,0.0,31.35,38.65,-0.75,5.83,20.45,1.14,0.001,no
Amphichaetodon_howensis_Bishop_472868867.jpg,Amphichaetodon howensis,images_bishop,192054,108641,1.768,1.155,1.119,0.1,0.828,0.882,0.19,30.11,38.65,-0.87,10.63,20.45,0.77,0.034,no
Amphichaetodon_howensis_FishBase_Amhow_u0.jpg,Amphichaetodon howensis,images_fishbase_extra,60932,108641,0.561,0.732,1.119,1.09,1.3,0.882,-1.48,49.35,38.65,1.1,16.52,20.45,0.31,0.0,no
Amphichaetodon_howensis_FishBase_Amhow_u1.jpg,Amphichaetodon howensis,images_fishbase_extra,107044,108641,0.985,1.155,1.119,0.1,0.837,0.882,0.16,30.55,38.65,-0.83,10.81,20.45,0.75,0.028,no
Amphichaetodon_howensis_FishBase_Amhow_u2.jpg,Amphichaetodon howensis,images_fishbase_extra,110239,108641,1.015,1.15,1.119,0.09,0.855,0.882,0.1,29.44,38.65,-0.94,7.29,20.45,1.03,0.017,no
Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,Amphichaetodon howensis,images,112801,108641,1.038,1.12,1.119,0.0,0.883,0.882,-0.0,31.53,38.65,-0.73,6.06,20.45,1.13,0.0,no
Amphichaetodon_howensis_iNaturalist_11105384.jpg,Amphichaetodon howensis,images_inaturalist,205893,108641,1.895,0.995,1.119,0.35,0.966,0.882,-0.3,48.98,38.65,1.06,13.01,20.45,0.58,0.048,no
Amphichaetodon_howensis_iNaturalist_33167253.jpg,Amphichaetodon howensis,images_inaturalist,134836,108641,1.241,1.292,1.119,0.49,0.773,0.882,0.39,26.27,38.65,-1.27,25.02,20.45,-0.36,0.068,no
Amphichaetodon_howensis_iNaturalist_33719286.jpg,Amphichaetodon howensis,images_inaturalist,32108,108641,0.296,0.554,1.119,1.59,1.679,0.882,-2.83,42.47,38.65,0.39,28.37,20.45,-0.62,0.164,no
Amphichaetodon_howensis_iNaturalist_33719401.jpg,Amphichaetodon howensis,images_inaturalist,28224,108641,0.26,0.781,1.119,0.95,1.142,0.882,-0.92,53.02,38.65,1.47,39.05,20.45,-1.46,0.192,no
