filename,species,source,original_mean_L,species_mean_L,L_shift,n_body_pixels,n_pixels_clamped
Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,Amphichaetodon howensis,fishbase,31.53,39.59,8.05,112801,3522
Amphichaetodon_howensis_Bishop_-1464681654.jpg,Amphichaetodon howensis,bishop,29.05,39.59,10.54,196605,5884
Amphichaetodon_howensis_Bishop_-369771762.jpg,Amphichaetodon howensis,bishop,31.35,39.59,8.23,200422,5310
Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,Amphichaetodon howensis,bishop,30.12,39.59,9.47,192557,7111
Amphichaetodon_howensis_Bishop_472868867.jpg,Amphichaetodon howensis,bishop,30.11,39.59,9.48,192054,7093
Amphichaetodon_howensis_FishBase_Amhow_u0.jpg,Amphichaetodon howensis,fishbase,49.35,39.59,-9.77,60932,16623
Amphichaetodon_howensis_FishBase_Amhow_u1.jpg,Amphichaetodon howensis,fishbase,30.55,39.59,9.04,107044,4287
Amphichaetodon_howensis_FishBase_Amhow_u2.jpg,Amphichaetodon howensis,fishbase,29.44,39.59,10.14,110239,3720
Amphichaetodon_howensis_iNaturalist_11105384.jpg,Amphichaetodon howensis,inaturalist,48.98,39.59,-9.39,205893,2876
Amphichaetodon_howensis_iNaturalist_405964908.jpg,Amphichaetodon howensis,inaturalist,46.93,39.59,-7.35,78418,2336
Amphichaetodon_howensis_FishWise_030360F000024W000002.jpg,Amphichaetodon howensis,unknown,52.2,39.59,-12.62,43388,13052
Amphichaetodon_howensis_FishWise_030360F000024W000003.jpg,Amphichaetodon howensis,unknown,29.45,39.59,10.14,84710,2854
Amphichaetodon_howensis_FishWise_030360F000048W000001.gif,Amphichaetodon howensis,unknown,46.64,39.59,-7.05,89084,235
Amphichaetodon_howensis_FishWise_030360F007696W000006.jpg,Amphichaetodon howensis,unknown,54.32,39.59,-14.73,92398,23526
Amphichaetodon_howensis_FishWise_030360F007696W000007.jpg,Amphichaetodon howensis,unknown,54.22,39.59,-14.63,69093,16377
Amphichaetodon_howensis_FishWise_030360F008947W000008.JPG,Amphichaetodon howensis,unknown,39.14,39.59,0.44,69824,173
Amphichaetodon_melbae_FishBase_Ammel_u0.jpg,Amphichaetodon melbae,fishbase,49.07,48.26,-0.81,105371,22653
Amphichaetodon_melbae_Bishop_-1115161976.jpg,Amphichaetodon melbae,bishop,48.63,48.26,-0.37,188561,35209
Amphichaetodon_melbae_iNaturalist_510100646.jpg,Amphichaetodon melbae,inaturalist,46.08,48.26,2.18,171844,247
Amphichaetodon_melbae_FishWise_043655F000024W000001.jpg,Amphichaetodon melbae,unknown,49.25,48.26,-0.99,80125,17062
Chaetodon_adiergastos_FishPix_28455AF.jpg,Chaetodon adiergastos,fishpix,68.77,56.52,-12.24,111422,5240
Chaetodon_adiergastos_Bishop_1979529705.jpg,Chaetodon adiergastos,bishop,60.27,56.52,-3.74,216955,9205
Chaetodon_adiergastos_FishBase_Chadi_u1.jpg,Chaetodon adiergastos,fishbase,60.73,56.52,-4.2,121982,5658
Chaetodon_adiergastos_FishBase_Chadi_u3.jpg,Chaetodon adiergastos,fishbase,67.04,56.52,-10.52,28695,1633
Chaetodon_adiergastos_FishBase_Chadi_u4.jpg,Chaetodon adiergastos,fishbase,28.84,56.52,27.68,145400,11715
Chaetodon_adiergastos_FishBaseUser_1354818522_86.28.236.182.jpg,Chaetodon adiergastos,fishbase,57.99,56.52,-1.46,349123,543
Chaetodon_adiergastos_FishBaseUser_1508793657_172.68.102.54.jpg,Chaetodon adiergastos,fishbase,38.02,56.52,18.5,1752267,24899
Chaetodon_adiergastos_FishBaseUser_1577140639_172.68.102.128.jpg,Chaetodon adiergastos,fishbase,56.09,56.52,0.43,435006,2
Chaetodon_adiergastos_FishBaseUser_1577140803_172.68.102.30.jpg,Chaetodon adiergastos,fishbase,40.59,56.52,15.93,1829477,18502
