species,fishbase_file,bishop_file,phash_distance,dhash_distance,min_distance,confidence
Amphichaetodon howensis,Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,Amphichaetodon_howensis_Bishop_-369771762.jpg,1,0,0,high
Amphichaetodon howensis,Amphichaetodon_howensis_FishBase_Amhow_u2.jpg,Amphichaetodon_howensis_Bishop_-1464681654.jpg,0,1,0,high
Amphichaetodon melbae,Amphichaetodon_melbae_FishBase_Ammel_u0.jpg,Amphichaetodon_melbae_Bishop_-1115161976.jpg,0,3,0,high
Chaetodon adiergastos,Chaetodon_adiergastos_FishBase_Chadi_u1.jpg,Chaetodon_adiergastos_Bishop_1979529705.jpg,0,2,0,high
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishBase_Chaur_u1.jpg,Chaetodon_aureofasciatus_Bishop_1459626629.jpg,0,5,0,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_u7.jpg,Chaetodon_auriga_Bishop_415255648.jpg,0,4,0,high
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u1.jpg,Chaetodon_bennetti_Bishop_-2064196433.jpg,0,4,0,high
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon_blackburnii_Bishop_300609141.jpg,0,1,0,high
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_f0.jpg,Chaetodon_blackburnii_Bishop_-410407509.jpg,0,2,0,high
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u1.jpg,Chaetodon_blackburnii_Bishop_1288243346.jpg,0,5,0,high
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u5.jpg,Chaetodon_citrinellus_Bishop_-1937929700.jpg,0,4,0,high
Chaetodon collare,Chaetodon_collare_FishBase_Chcol_u2.jpg,Chaetodon_collare_Bishop_1403678122.jpg,0,3,0,high
Chaetodon decussatus,Chaetodon_decussatus_FishBase_Chdec_u4.jpg,Chaetodon_decussatus_Bishop_527122207.jpg,0,3,0,high
