species,filename,png_name,source,selected_at
Amphichaetodon howensis,Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,Bishop,2026-02-07T08:29:22.101636
Amphichaetodon melbae,Amphichaetodon_melbae_iNaturalist_510100646.jpg,Amphichaetodon_melbae_iNaturalist_510100646.png,iNat,2026-02-08T18:04:41.625868
Chaetodon adiergastos,Chaetodon_adiergastos_FishBase_Chadi_u1.jpg,Chaetodon_adiergastos_FishBase_Chadi_u1.png,FishBase,2026-02-08T18:04:51.856319
Chaetodon andamanensis,Chaetodon_andamanensis_FishBase_Chand_u0.jpg,Chaetodon_andamanensis_FishBase_Chand_u0.png,FishBase,2026-02-08T18:08:09.115913
Chaetodon argentatus,Chaetodon_argentatus_FishBase_Charg_u2.jpg,Chaetodon_argentatus_FishBase_Charg_u2.png,FishBase,2026-02-08T18:10:24.749007
Chaetodon assarius,Chaetodon_assarius_FishBase_Chass_u0.jpg,Chaetodon_assarius_FishBase_Chass_u0.png,FishBase,2026-02-07T09:23:41.464459
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishBase_Chaur_u1.jpg,Chaetodon_aureofasciatus_FishBase_Chaur_u1.png,FishBase,2026-02-08T18:14:44.188719
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_u5.jpg,Chaetodon_auriga_FishBase_Chaur_u5.png,FishBase,2026-02-08T18:16:54.231752
Chaetodon auripes,Chaetodon_auripes_FishBase_Chaur_uc.jpg,Chaetodon_auripes_FishBase_Chaur_uc.png,FishBase,2026-02-08T18:25:26.946626
Chaetodon austriacus,Chaetodon_austriacus_FishBase_Chaus_u1.jpg,Chaetodon_austriacus_FishBase_Chaus_u1.png,FishBase,2026-02-07T09:06:30.254063
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u0.jpg,Chaetodon_baronessa_FishBase_Chbar_u0.png,FishBase,2026-02-08T15:59:52.812445
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u1.jpg,Chaetodon_bennetti_FishBase_Chben_u1.png,FishBase,2026-02-08T18:31:11.423565
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon_blackburnii_FishBase_Chbla_u0.png,FishBase,2026-02-08T18:35:05.854607
Chaetodon burgessi,Chaetodon_burgessi_FishBase_Chbur_u5.jpg,Chaetodon_burgessi_FishBase_Chbur_u5.png,FishBase,2026-02-08T18:37:37.301271
Chaetodon capistratus,Chaetodon_capistratus_FishBase_Chcap_u9.jpg,Chaetodon_capistratus_FishBase_Chcap_u9.png,FishBase,2026-02-08T18:40:50.391600
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u1.jpg,Chaetodon_citrinellus_FishBase_Chcit_u1.png,FishBase,2026-02-08T20:14:56.657056
Chaetodon collare,Chaetodon_collare_Bishop_1999007469.jpg,Chaetodon_collare_Bishop_1999007469.png,segmented,2026-02-08T20:14:07.584377
Chaetodon daedalma,Chaetodon_daedalma_Bishop_1811677923.jpg,Chaetodon_daedalma_Bishop_1811677923.png,segmented,2026-02-08T20:14:29.421657
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u2.jpg,Chaetodon_declivis_FishBase_Chdec_u2.png,FishBase,2026-02-08T20:15:14.573198
Chaetodon decussatus,Chaetodon_decussatus_Bishop_527122207.jpg,Chaetodon_decussatus_Bishop_527122207.png,Bishop,2026-02-08T20:15:48.844001
Chaetodon dialeucos,Chaetodon_dialeucos_FishBase_Chdia_u0.jpg,Chaetodon_dialeucos_FishBase_Chdia_u0.png,FishBase,2026-02-08T21:26:33.578642
Chaetodon dolosus,Chaetodon_dolosus_Bishop_-1008609691.jpg,Chaetodon_dolosus_Bishop_-1008609691.png,Bishop,2026-02-08T21:26:58.487446
Chaetodon ephippium,Chaetodon_ephippium_Bishop_-1179871461.jpg,Chaetodon_ephippium_Bishop_-1179871461.png,segmented,2026-02-08T21:27:19.796382
Chaetodon excelsa,Chaetodon_excelsa_Bishop_853070272.jpg,Chaetodon_excelsa_Bishop_853070272.png,Bishop,2026-02-08T21:27:26.641406
Chaetodon falcula,Chaetodon_falcula_Bishop_1821335233.jpg,Chaetodon_falcula_Bishop_1821335233.png,segmented,2026-02-08T21:27:35.054379
Chaetodon fasciatus,Chaetodon_fasciatus_Bishop_-1886056978.jpg,Chaetodon_fasciatus_Bishop_-1886056978.png,segmented,2026-02-08T21:27:56.896454
Chaetodon flavirostris,Chaetodon_flavirostris_Bishop_1864146380.jpg,Chaetodon_flavirostris_Bishop_1864146380.png,segmented,2026-02-08T21:28:14.942934
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u5.jpg,Chaetodon_flavocoronatus_FishBase_Chfla_u5.png,FishBase,2026-02-08T21:30:38.031694
Chaetodon fremblii,Chaetodon_fremblii_Bishop_5130835.jpg,Chaetodon_fremblii_Bishop_5130835.png,segmented,2026-02-08T21:30:55.353700
Chaetodon gardineri,Chaetodon_gardineri_FishBase_Chgar_u0.jpg,Chaetodon_gardineri_FishBase_Chgar_u0.png,FishBase,2026-02-08T21:31:12.877317
Chaetodon guentheri,Chaetodon_guentheri_Bishop_-184146759.jpg,Chaetodon_guentheri_Bishop_-184146759.png,segmented,2026-02-08T21:31:18.324413
Chaetodon guttatissimus,Chaetodon_guttatissimus_FishBase_Chgut_u0.jpg,Chaetodon_guttatissimus_FishBase_Chgut_u0.png,FishBase,2026-02-08T21:31:46.920777
Chaetodon hoefleri,Chaetodon_hoefleri_FishBase_Chhoe_u0.jpg,Chaetodon_hoefleri_FishBase_Chhoe_u0.png,segmented,2026-02-08T21:31:54.128033
Chaetodon humeralis,Chaetodon_humeralis_FishBase_Chhum_u3.jpg,Chaetodon_humeralis_FishBase_Chhum_u3.png,segmented,2026-02-08T21:32:04.208280
Chaetodon interruptus,Chaetodon_interruptus_FishBase_Chuni_u2.jpg,Chaetodon_interruptus_FishBase_Chuni_u2.png,segmented,2026-02-08T21:32:18.659228
