filename,species,directory,annotation_type,annotation_detail,n_fish_noted,annotated_by,date_annotated
Chaetodon_litus_Bishop_2072919420.jpg,Chaetodon litus,images_bishop,larva,Larval stage identified by visual inspection,,user,2026-02-04
Chaetodon_argentatus_FishBase_Charg_u1.jpg,Chaetodon argentatus,images_fishbase_extra,larva,Larval stage identified by visual inspection,,user,2026-02-04
Chaetodon_argentatus_Bishop_1101542975.jpg,Chaetodon argentatus,images_bishop,larva,Larval stage identified by visual inspection,,user,2026-02-04
Chaetodon_semilarvatus_FishPix_32790AF.jpg,Chaetodon semilarvatus,images,multi_fish,2 fish in image,2,user,2026-02-04
Prognathodes_marcellae_FishBase_Prmar_u0.jpg,Prognathodes marcellae,images,multi_fish,2 fish in image,2,user,2026-02-04
Chaetodon_austriacus_FishBase_Chaus_u0.jpg,Chaetodon austriacus,images_fishbase_extra,multi_fish,2+ fish in image,2,user,2026-02-04
Chaetodon_collare_FishBase_Chcol_u1.jpg,Chaetodon collare,images_fishbase_extra,multi_fish,3 fish in image,3,user,2026-02-04
Chaetodon_daedalma_FishBase_Chdae_u0.jpg,Chaetodon daedalma,images_fishbase_extra,multi_fish,2 fish in image,2,user,2026-02-04
Chaetodon_guentheri_FishBase_Chgue_u2.jpg,Chaetodon guentheri,images_fishbase_extra,outlier,luminance_anomaly,,pipeline,2026-02-04
Chaetodon_hoefleri_FishBase_Chhoe_u2.jpg,Chaetodon hoefleri,images_fishbase_extra,outlier,small_mask; luminance_anomaly,,pipeline,2026-02-04
Chaetodon_kleinii_FishBase_Chkle_u3.jpg,Chaetodon kleinii,images_fishbase_extra,multi_fish,3+ fish in image,3,user,2026-02-04
Chaetodon_lunula_FishBase_Chlun_uf.jpg,Chaetodon lunula,images_fishbase_extra,multi_fish,2 fish in image,2,user,2026-02-04
Amphichaetodon_howensis_Bishop_-1464681654.jpg,Amphichaetodon howensis,images_bishop,outlier,large_mask,,pipeline,2026-02-04
Amphichaetodon_howensis_Bishop_-369771762.jpg,Amphichaetodon howensis,images_bishop,outlier,large_mask,,pipeline,2026-02-04
Amphichaetodon_howensis_Bishop_472868867.jpg,Amphichaetodon howensis,images_bishop,outlier,large_mask,,pipeline,2026-02-04
Amphichaetodon_howensis_iNaturalist_11105384.jpg,Amphichaetodon howensis,images_inaturalist,outlier,large_mask,,pipeline,2026-02-04
Amphichaetodon_howensis_iNaturalist_267486174.jpg,Amphichaetodon howensis,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Amphichaetodon_howensis_iNaturalist_33719401.jpg,Amphichaetodon howensis,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Amphichaetodon_melbae_iNaturalist_462963831.jpg,Amphichaetodon melbae,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_adiergastos_FishBase_Chadi_u0.jpg,Chaetodon adiergastos,images_fishbase_extra,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_adiergastos_FishBase_Chadi_u3.jpg,Chaetodon adiergastos,images_fishbase_extra,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_adiergastos_FishBase_Chadi_u4.jpg,Chaetodon adiergastos,images_fishbase_extra,outlier,luminance_anomaly,,pipeline,2026-02-04
Chaetodon_adiergastos_iNaturalist_19737434.jpg,Chaetodon adiergastos,images_inaturalist,outlier,large_mask,,pipeline,2026-02-04
Chaetodon_adiergastos_iNaturalist_294596355.jpg,Chaetodon adiergastos,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_adiergastos_iNaturalist_341061286.jpg,Chaetodon adiergastos,images_inaturalist,outlier,large_mask,,pipeline,2026-02-04
Chaetodon_andamanensis_Bishop_-322272266.jpg,Chaetodon andamanensis,images_bishop,outlier,luminance_anomaly,,pipeline,2026-02-04
Chaetodon_andamanensis_iNaturalist_153255532.jpg,Chaetodon andamanensis,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_andamanensis_iNaturalist_177672904.jpg,Chaetodon andamanensis,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_andamanensis_iNaturalist_205344829.jpg,Chaetodon andamanensis,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_andamanensis_iNaturalist_436938868.jpg,Chaetodon andamanensis,images_inaturalist,outlier,large_mask,,pipeline,2026-02-04
Chaetodon_andamanensis_iNaturalist_486380130.jpg,Chaetodon andamanensis,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
Chaetodon_argentatus_iNaturalist_263052573.jpg,Chaetodon argentatus,images_inaturalist,outlier,small_mask,,pipeline,2026-02-04
