species,filename,source,image_url,in_tree,download_success
Amphichaetodon howensis,Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,FishBase,https://www.fishbase.se/images/species/Amhow_u3.jpg,yes,yes
Amphichaetodon melbae,Amphichaetodon_melbae_FishBase_Ammel_u0.jpg,FishBase,https://www.fishbase.se/images/species/Ammel_u0.jpg,yes,yes
Chaetodon adiergastos,Chaetodon_adiergastos_FishPix_28455AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0028/28455AF.jpg,yes,yes
Chaetodon andamanensis,Chaetodon_andamanensis_FishPix_88987AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0088/88987AF.jpg,no,yes
Chaetodon argentatus,Chaetodon_argentatus_FishPix_2068AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0002/2068AF.jpg,yes,yes
Chaetodon assarius,Chaetodon_assarius_FishBase_Chass_u0.jpg,FishBase,https://www.fishbase.se/images/species/Chass_u0.jpg,yes,yes
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishBase_Chaur_ui.jpg,FishBase,https://www.fishbase.se/images/species/Chaur_ui.jpg,yes,yes
Chaetodon auriga,Chaetodon_auriga_FishPix_12061AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0012/12061AF.jpg,yes,yes
Chaetodon auripes,Chaetodon_auripes_FishPix_140765AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0140/140765AF.jpg,yes,yes
Chaetodon austriacus,Chaetodon_austriacus_FishBase_Chaus_u1.jpg,FishBase,https://www.fishbase.se/images/species/Chaus_u1.jpg,yes,yes
Chaetodon baronessa,Chaetodon_baronessa_FishPix_23026AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0023/23026AF.jpg,yes,yes
Chaetodon bennetti,Chaetodon_bennetti_FishPix_16721AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0016/16721AF.jpg,yes,yes
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,FishBase,https://www.fishbase.se/images/species/Chbla_u0.jpg,yes,yes
Chaetodon burgessi,Chaetodon_burgessi_FishPix_55799AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0055/55799AF.jpg,yes,yes
Chaetodon capistratus,Chaetodon_capistratus_FishBase_Chcap_u9.jpg,FishBase,https://www.fishbase.se/images/species/Chcap_u9.jpg,yes,yes
Chaetodon citrinellus,Chaetodon_citrinellus_FishPix_33011AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0033/33011AF.jpg,yes,yes
Chaetodon collare,Chaetodon_collare_FishPix_61562AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0061/61562AF.jpg,yes,yes
Chaetodon daedalma,Chaetodon_daedalma_FishPix_140579AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0140/140579AF.jpg,no,yes
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u2.jpg,FishBase,https://www.fishbase.se/images/species/Chdec_u2.jpg,yes,yes
Chaetodon decussatus,Chaetodon_decussatus_FishBase_Chdec_u4.jpg,FishBase,https://www.fishbase.se/images/species/Chdec_u4.jpg,yes,yes
Chaetodon dialeucos,Chaetodon_dialeucos_FishBase_Chdia_j0.jpg,FishBase,https://www.fishbase.se/images/species/Chdia_j0.jpg,yes,yes
Chaetodon dolosus,Chaetodon_dolosus_FishBase_Chdol_u0.jpg,FishBase,https://www.fishbase.se/images/species/Chdol_u0.jpg,no,yes
Chaetodon ephippium,Chaetodon_ephippium_FishPix_141659AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0141/141659AF.jpg,yes,yes
Chaetodon falcula,Chaetodon_falcula_FishPix_22173AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0022/22173AF.jpg,yes,yes
Chaetodon fasciatus,Chaetodon_fasciatus_FishPix_32789AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0032/32789AF.jpg,yes,yes
Chaetodon flavirostris,Chaetodon_flavirostris_FishPix_32909AF.jpg,FishPix,https://fishpix.kahaku.go.jp/photos/NR0032/32909AF.jpg,no,yes
