species,filename,source,image_url,locality,in_tree,download_success
Amphichaetodon howensis,Amphichaetodon_howensis_Bishop_-369771762.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-369771762.jpg,Australia; Lord Howe Island,yes,yes
Amphichaetodon howensis,Amphichaetodon_howensis_Bishop_472868867.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/472868867.jpg,Australia; Lord Howe Island,yes,yes
Amphichaetodon howensis,Amphichaetodon_howensis_Bishop_-1464681654.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1464681654.jpg,Australia; Lord Howe Island,yes,yes
Amphichaetodon melbae,Amphichaetodon_melbae_Bishop_-1115161976.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1115161976.jpg,Easter Island; Motu Iti,yes,yes
Chaetodon adiergastos,Chaetodon_adiergastos_Bishop_1979529705.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1979529705.jpg,Indonesia; Ambon; Latuhalat,yes,yes
Chaetodon andamanensis,Chaetodon_andamanensis_Bishop_-322272266.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-322272266.jpg,Thailand; Similan Island,no,yes
Chaetodon argentatus,Chaetodon_argentatus_Bishop_1101542975.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1101542975.jpg,Taiwan; Cheng Kung; San Shien Tai,yes,yes
Chaetodon argentatus,Chaetodon_argentatus_Bishop_1074668308.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1074668308.jpg,Ryukyu Islands; Okinawa; Onna Point,yes,yes
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_Bishop_1459626629.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1459626629.jpg,Australia; Wistari Reef,yes,yes
Chaetodon auriga,Chaetodon_auriga_Bishop_1449897185.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1449897185.jpg,Sudan; Towartit Reefs,yes,yes
