species,fishwise_file,fishwise_id,best_bishop,best_ncc
Amphichaetodon howensis,Amphichaetodon_howensis_FishWise_030360F000024W000002.jpg,030360F000024W000002,,0
Chaetodon adiergastos,Chaetodon_adiergastos_FishWise_000669F000024W000001.jpg,000669F000024W000001,Chaetodon_adiergastos_Bishop_1979529705.jpg,0.59
Chaetodon argentatus,Chaetodon_argentatus_FishWise_004409F000024W000004.jpg,004409F000024W000004,Chaetodon_argentatus_Bishop_1074668308.jpg,0.538
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishWise_006046F000024W000002.jpg,006046F000024W000002,Chaetodon_aureofasciatus_Bishop_1459626629.jpg,0.798
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000056.jpg,006157F000024W000056,Chaetodon_auriga_Bishop_-2122348146.jpg,0.813
Chaetodon auripes,Chaetodon_auripes_FishWise_006172F000024W000001.jpg,006172F000024W000001,Chaetodon_auripes_Bishop_1839596140.jpg,0.226
Chaetodon austriacus,Chaetodon_austriacus_FishWise_006503F000024W000004.jpg,006503F000024W000004,Chaetodon_austriacus_Bishop_-1737564550.jpg,0.496
Chaetodon baronessa,Chaetodon_baronessa_FishWise_007419F000024W000003.jpg,007419F000024W000003,Chaetodon_baronessa_Bishop_601798515.jpg,0.421
Chaetodon blackburnii,Chaetodon_blackburnii_FishWise_009005F000024W000004.jpg,009005F000024W000004,Chaetodon_blackburnii_Bishop_300609141.jpg,0.508
Chaetodon citrinellus,Chaetodon_citrinellus_FishWise_015270F000024W000001.jpg,015270F000024W000001,Chaetodon_citrinellus_Bishop_-1937929700.jpg,0.781
Chaetodon collare,Chaetodon_collare_FishWise_015726F000024W000002.jpg,015726F000024W000002,Chaetodon_collare_Bishop_1999007469.jpg,0.018
Chaetodon daedalma,Chaetodon_daedalma_FishWise_018082F000024W000001.jpg,018082F000024W000001,Chaetodon_daedalma_Bishop_1811677923.jpg,0.116
Chaetodon declivis,Chaetodon_declivis_FishWise_018544F000024W000004.jpg,018544F000024W000004,Chaetodon_declivis_Bishop_1376440265.jpg,0.729
Chaetodon decussatus,Chaetodon_decussatus_FishWise_018588F000024W000002.jpg,018588F000024W000002,Chaetodon_decussatus_Bishop_527122207.jpg,0.619
Chaetodon dialeucos,Chaetodon_dialeucos_FishWise_019176F000024W000002.jpg,019176F000024W000002,Chaetodon_dialeucos_Bishop_1297085044.jpg,0.021
Chaetodon dialeucos,Chaetodon_dialeucos_FishWise_019176F000024W000003.jpg,019176F000024W000003,Chaetodon_dialeucos_Bishop_1297085044.jpg,0.366
Chaetodon dolosus,Chaetodon_dolosus_FishWise_019748F000024W000001.jpg,019748F000024W000001,Chaetodon_dolosus_Bishop_-1008609691.jpg,0.408
