species,fishwise_file,fishwise_id
Amphichaetodon howensis,Amphichaetodon_howensis_FishWise_030360F000024W000002.jpg,030360F000024W000002
Chaetodon adiergastos,Chaetodon_adiergastos_FishWise_000669F000024W000001.jpg,000669F000024W000001
Chaetodon argentatus,Chaetodon_argentatus_FishWise_004409F000024W000004.jpg,004409F000024W000004
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishWise_006046F000024W000002.jpg,006046F000024W000002
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000056.jpg,006157F000024W000056
Chaetodon auripes,Chaetodon_auripes_FishWise_006172F000024W000001.jpg,006172F000024W000001
Chaetodon austriacus,Chaetodon_austriacus_FishWise_006503F000024W000004.jpg,006503F000024W000004
Chaetodon baronessa,Chaetodon_baronessa_FishWise_007419F000024W000003.jpg,007419F000024W000003
Chaetodon blackburnii,Chaetodon_blackburnii_FishWise_009005F000024W000004.jpg,009005F000024W000004
Chaetodon citrinellus,Chaetodon_citrinellus_FishWise_015270F000024W000001.jpg,015270F000024W000001
Chaetodon collare,Chaetodon_collare_FishWise_015726F000024W000002.jpg,015726F000024W000002
Chaetodon daedalma,Chaetodon_daedalma_FishWise_018082F000024W000001.jpg,018082F000024W000001
Chaetodon declivis,Chaetodon_declivis_FishWise_018544F000024W000004.jpg,018544F000024W000004
Chaetodon decussatus,Chaetodon_decussatus_FishWise_018588F000024W000002.jpg,018588F000024W000002
Chaetodon dialeucos,Chaetodon_dialeucos_FishWise_019176F000024W000002.jpg,019176F000024W000002
Chaetodon dialeucos,Chaetodon_dialeucos_FishWise_019176F000024W000003.jpg,019176F000024W000003
Chaetodon dolosus,Chaetodon_dolosus_FishWise_019748F000024W000001.jpg,019748F000024W000001
Chaetodon ephippium,Chaetodon_ephippium_FishWise_021561F000024W000002.jpg,021561F000024W000002
Chaetodon falcula,Chaetodon_falcula_FishWise_022574F000024W000001.jpg,022574F000024W000001
Chaetodon fasciatus,Chaetodon_fasciatus_FishWise_090685F000024W000005.jpg,090685F000024W000005
Chaetodon flavirostris,Chaetodon_flavirostris_FishWise_023881F000024W000001.jpg,023881F000024W000001
Chaetodon fremblii,Chaetodon_fremblii_FishWise_024634F000024W000001.jpg,024634F000024W000001
Chaetodon gardineri,Chaetodon_gardineri_FishWise_025566F000024W000003.jpg,025566F000024W000003
Chaetodon guentheri,Chaetodon_guentheri_FishWise_027857F000024W000002.jpg,027857F000024W000002
Chaetodon guttatissimus,Chaetodon_guttatissimus_FishWise_028217F000024W000006.jpg,028217F000024W000006
Chaetodon kleinii,Chaetodon_kleinii_FishWise_034237F000024W000001.jpg,034237F000024W000001
Chaetodon larvatus,Chaetodon_larvatus_FishWise_035586F000024W000001.jpg,035586F000024W000001
Chaetodon leucopleura,Chaetodon_leucopleura_FishWise_036818F000024W000002.jpg,036818F000024W000002
Chaetodon lineolatus,Chaetodon_lineolatus_FishWise_037464F000024W000002.jpg,037464F000024W000002
Chaetodon lunula,Chaetodon_lunula_FishWise_107206F000024W000003.jpg,107206F000024W000003
Chaetodon lunulatus,Chaetodon_lunulatus_FishWise_089264F000024W000004.jpg,089264F000024W000004
Chaetodon madagaskariensis,Chaetodon_madagaskariensis_FishWise_040973F000024W000004.jpg,040973F000024W000004
Chaetodon madagaskariensis,Chaetodon_madagaskariensis_FishWise_040973F000024W000007.jpg,040973F000024W000007
Chaetodon marleyi,Chaetodon_marleyi_FishWise_042046F000024W000003.jpg,042046F000024W000003
Chaetodon melapterus,Chaetodon_melapterus_FishWise_043599F000024W000001.jpg,043599F000024W000001
