species,species_dir,png_name,original_source,image_type,image_path,grayscale_path,gestalt_k
Amphichaetodon howensis,Amphichaetodon_howensis,Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,Bishop,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Amphichaetodon_howensis/Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Amphichaetodon_howensis/Amphichaetodon_howensis_Bishop_472868867 Background Removed.png,3
Amphichaetodon melbae,Amphichaetodon_melbae,Amphichaetodon_melbae_iNaturalist_510100646.png,iNat,oriented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Amphichaetodon_melbae/Amphichaetodon_melbae_iNaturalist_510100646.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Amphichaetodon_melbae/Amphichaetodon_melbae_iNaturalist_510100646.png,4
Chaetodon adiergastos,Chaetodon_adiergastos,Chaetodon_adiergastos_FishBase_Chadi_u1.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_adiergastos/Chaetodon_adiergastos_FishBase_Chadi_u1.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_adiergastos/Chaetodon_adiergastos_FishBase_Chadi_u1.png,4
Chaetodon andamanensis,Chaetodon_andamanensis,Chaetodon_andamanensis_FishBase_Chand_u0.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_andamanensis/Chaetodon_andamanensis_FishBase_Chand_u0.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_andamanensis/Chaetodon_andamanensis_FishBase_Chand_u0.png,2
Chaetodon argentatus,Chaetodon_argentatus,Chaetodon_argentatus_FishBase_Charg_u2.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_argentatus/Chaetodon_argentatus_FishBase_Charg_u2.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_argentatus/Chaetodon_argentatus_FishBase_Charg_u2.png,2
Chaetodon assarius,Chaetodon_assarius,Chaetodon_assarius_FishBase_Chass_u0.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_assarius/Chaetodon_assarius_FishBase_Chass_u0.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_assarius/Chaetodon_assarius_FishBase_Chass_u0.png,3
Chaetodon aureofasciatus,Chaetodon_aureofasciatus,Chaetodon_aureofasciatus_FishBase_Chaur_u1.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_aureofasciatus/Chaetodon_aureofasciatus_FishBase_Chaur_u1.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_aureofasciatus/Chaetodon_aureofasciatus_FishBase_Chaur_u1.png,3
Chaetodon auriga,Chaetodon_auriga,Chaetodon_auriga_FishBase_Chaur_u5.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_auriga/Chaetodon_auriga_FishBase_Chaur_u5.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_auriga/Chaetodon_auriga_FishBase_Chaur_u5.png,3
Chaetodon auripes,Chaetodon_auripes,Chaetodon_auripes_FishBase_Chaur_uc.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_auripes/Chaetodon_auripes_FishBase_Chaur_uc.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_auripes/Chaetodon_auripes_FishBase_Chaur_uc.png,3
Chaetodon austriacus,Chaetodon_austriacus,Chaetodon_austriacus_FishBase_Chaus_u1.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_austriacus/Chaetodon_austriacus_FishBase_Chaus_u1.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_austriacus/Chaetodon_austriacus_FishBase_Chaus_u1.png,3
Chaetodon baronessa,Chaetodon_baronessa,Chaetodon_baronessa_FishBase_Chbar_u0.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_baronessa/Chaetodon_baronessa_FishBase_Chbar_u0.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_baronessa/Chaetodon_baronessa_FishBase_Chbar_u0.png,3
Chaetodon bennetti,Chaetodon_bennetti,Chaetodon_bennetti_FishBase_Chben_u1.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_bennetti/Chaetodon_bennetti_FishBase_Chben_u1.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_bennetti/Chaetodon_bennetti_FishBase_Chben_u1.png,3
Chaetodon blackburnii,Chaetodon_blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_blackburnii/Chaetodon_blackburnii_FishBase_Chbla_u0.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_blackburnii/Chaetodon_blackburnii_FishBase_Chbla_u0.png,3
Chaetodon burgessi,Chaetodon_burgessi,Chaetodon_burgessi_FishBase_Chbur_u5.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_burgessi/Chaetodon_burgessi_FishBase_Chbur_u5.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_burgessi/Chaetodon_burgessi_FishBase_Chbur_u5.png,2
Chaetodon capistratus,Chaetodon_capistratus,Chaetodon_capistratus_FishBase_Chcap_u9.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_capistratus/Chaetodon_capistratus_FishBase_Chcap_u9.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_capistratus/Chaetodon_capistratus_FishBase_Chcap_u9.png,4
Chaetodon citrinellus,Chaetodon_citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u1.png,FishBase,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_citrinellus/Chaetodon_citrinellus_FishBase_Chcit_u1.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_citrinellus/Chaetodon_citrinellus_FishBase_Chcit_u1.png,3
Chaetodon collare,Chaetodon_collare,Chaetodon_collare_Bishop_1999007469.png,segmented,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_collare/Chaetodon_collare_Bishop_1999007469.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_collare/Chaetodon_collare_Bishop_1999007469.png,4
Chaetodon daedalma,Chaetodon_daedalma,Chaetodon_daedalma_Bishop_1811677923.png,segmented,segmented,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_daedalma/Chaetodon_daedalma_Bishop_1811677923.png,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/pilot_analysis/grayscale_images/Chaetodon_daedalma/Chaetodon_daedalma_Bishop_1811677923.png,3
