"species","gestalt_k","m","m_r","m_c","A","Sc","St","Jc","Jt","m_dS","s_dS","cv_dS","m_dL","s_dL","cv_dL"
"Amphichaetodon howensis",3,0.0872158117977528,0.109101123595506,0.0653305,1.66998758000483,1.66615152904583,1.90717590314007,0.555383843015277,0.635725301046691,0.124396600647988,0.0326505164026514,0.262471130501744,1.17239946752692,0.42188049277389,0.359843640720694
"Amphichaetodon melbae",4,0.0804966319657073,0.0987323943661972,0.0622608695652174,1.58578566370289,1.4204739181151,4.80003908223123,0.355118479528776,0.800006513705204,0.118701616740461,0.077912502972131,0.656372719358028,0.952369913243979,0.486569244457069,0.510903628611816
"Chaetodon adiergastos",4,0.174704964539007,0.171276595744681,0.178133333333333,0.961507835393044,3.01962310756673,3.21954711352806,0.754905776891681,0.53659118558801,0.165985674468626,0.104330208474262,0.628549474575182,0.896211401571567,0.498916681791574,0.55669530750969
"Chaetodon andamanensis",2,0.0730213924050633,0.0658227848101266,0.08022,0.820528357144435,1.83817422204084,1,0.919087111020421,1,0.196411242962864,NA,NA,1.0416306178412,NA,NA
"Chaetodon argentatus",2,0.0957834291187739,0.10183908045977,0.0897277777777778,1.13497829748985,1.55174042582923,1,0.775870212914614,1,0.0984270306106586,NA,NA,1.89165252052628,NA,NA
"Chaetodon assarius",3,0.10202658315936,0.102133333333333,0.101919832985386,1.0020947870664,1.79148114884103,2.1887306876704,0.59716038294701,0.729576895890134,0.221527303828437,0.0894024012169799,0.40357283130308,1.08757638528457,0.55207045126437,0.507615335101191
"Chaetodon aureofasciatus",3,0.0884486149614961,0.0911881188118812,0.0857091111111111,1.06392561572208,2.51740702683545,2.20636980997532,0.839135675611815,0.735456603325107,0.168699909538662,0.11416131127508,0.67671234434727,1.20015717267442,0.402563072214375,0.335425293769903
"Chaetodon auriga",3,0.073743649122807,0.0760526315789474,0.0714346666666667,1.06464599231392,2.4730645337113,2.2301628288744,0.824354844570434,0.743387609624798,0.274972737429036,0.0533166884284311,0.193898089414013,1.27802297438682,0.400389150813565,0.313287913314442
"Chaetodon auripes",3,0.139813611111111,0.137875,0.141752222222222,0.972647891077545,2.65500852423674,2.50528985849792,0.885002841412248,0.835096619499306,0.196305677982872,0.175178428873269,0.892375761482321,1.15855007832386,0.474749871996345,0.409779327522203
"Chaetodon austriacus",3,0.143122205344585,0.124050632911392,0.162193777777778,0.764829789471669,2.92465459927593,2.41405420686109,0.974884866425309,0.804684735620364,0.18519724164965,0.0948993786168912,0.512423283260444,1.00033662618796,0.370163480199082,0.370038915409592
"Chaetodon baronessa",3,0.146055555555556,0.159666666666667,0.132444444444444,1.20553691275168,2.72531875630987,2.33973046340376,0.908439585436624,0.77991015446792,0.0638271787842596,0.024873855837519,0.389706333748424,1.16083570555485,0.51077705553634,0.440008050314235
"Chaetodon bennetti",3,0.120281395348837,0.126162790697674,0.1144,1.10282159700764,2.59962639333613,2.03207183600918,0.866542131112042,0.677357278669726,0.175451518656427,0.161923657192379,0.922896868789499,0.764186093744333,0.49795410917885,0.651613675327421
"Chaetodon blackburnii",3,0.125332432432432,0.124864864864865,0.1258,0.992566493361406,2.9627061518137,2.28554686847146,0.987568717271232,0.761848956157152,0.150208556584653,0.101144842997062,0.673362725112535,1.04230753971989,0.423619417501471,0.406424592894448
"Chaetodon burgessi",2,0.193842268842269,0.19051282051282,0.197171717171717,0.966227931904161,1.74644951750457,1,0.873224758752284,1,0.0948839176501461,NA,NA,1.3277080969084,NA,NA
"Chaetodon capistratus",4,0.248277943037975,0.233670886075949,0.262885,0.888871126446733,3.70898058243772,3.89817878566412,0.927245145609431,0.649696464277353,0.0251027768444338,0.0125088381658392,0.498304958186842,0.858665633303126,0.432626758649305,0.503836117191591
"Chaetodon citrinellus",3,0.154173878787879,0.150909090909091,0.157438666666667,0.9585262255085,2.94601171428466,2.27749218404057,0.982003904761555,0.759164061346858,0.0337477650787686,0.0241461897299763,0.71549003833641,0.623709470322389,0.267660606254968,0.42914308502742
"Chaetodon collare",4,0.234877121212121,0.249090909090909,0.220663333333333,1.12882781805273,3.83335517976179,3.14556176736199,0.958338794940446,0.524260294560331,0.0937185886023823,0.0680930658365338,0.72656947625866,0.766111194214477,0.400046781990307,0.522178484026056
"Chaetodon daedalma",3,0.225426204819277,0.240602409638554,0.21025,1.14436342277553,2.76191661377236,2.51433260265834,0.920638871257454,0.838110867552779,0.212104358466298,0.106477559343368,0.502005522721432,1.36831021739764,0.567007639841892,0.414385299936056
"Chaetodon declivis",4,0.132570525252525,0.143977272727273,0.121163777777778,1.18828642823713,2.59026508540081,4.34770769019579,0.647566271350203,0.724617948365965,0.136905540857019,0.0898951048393375,0.656621377605322,1.0454016789893,0.525039219841847,0.502236824748031
"Chaetodon decussatus",4,0.108236809512014,0.115454545454545,0.101019073569482,1.14289847822782,1.83782120221036,3.69965301873699,0.45945530055259,0.616608836456165,0.0635986877435076,0.038501667841241,0.605384626747608,0.916680630712079,0.355622134504961,0.38794550969045
"Chaetodon dialeucos",3,0.166798804878049,0.180975609756098,0.152622,1.18577668852523,2.88447835770397,1.97044396613151,0.961492785901324,0.65681465537717,0.139315215944735,0.104472011326122,0.749896632737983,1.17266919085585,0.424145552117528,0.361692415409987
"Chaetodon dolosus",4,0.175612461538462,0.181410256410256,0.169814666666667,1.06828379415749,3.87794790011416,3.6455652548766,0.96948697502854,0.6075942091461,0.21473396915556,0.070674746171296,0.32912699583221,0.804363742456726,0.304439377035169,0.378484709051325
"Chaetodon ephippium",5,0.139653867083067,0.136164383561644,0.14314335060449,0.951244909292855,2.67447445247049,6.60396407715335,0.534894890494098,0.660396407715335,0.107283722599125,0.0924748460690078,0.861965299382349,0.985393015851372,0.708290013506157,0.718789358268589
"Chaetodon excelsa",3,0.108675673267327,0.123465346534653,0.093886,1.31505598848235,2.43532099230461,1.76712267134288,0.811773664101538,0.589040890447627,0.0609062676866176,0.0472008773590576,0.774975698756018,0.852096000553051,0.367942671286393,0.431808940597751
"Chaetodon falcula",4,0.106929765432099,0.134197530864198,0.079662,1.68458651382337,2.49358512778854,4.34526073816497,0.623396281947135,0.724210123027495,0.147267870744912,0.135553152368789,0.920452992788807,1.10079239219017,0.618683462106811,0.562034645675429
"Chaetodon fasciatus",3,0.101167038617886,0.089390243902439,0.112943833333333,0.791457499398129,2.22995890760137,1.58487969467853,0.743319635867122,0.52829323155951,0.188358050607087,0.0649307333750336,0.344719714213217,1.06340412252343,0.263333573381387,0.247632642947165
"Chaetodon flavirostris",3,0.125432611111111,0.130222222222222,0.120643,1.07940139272251,2.882181542424,2.38275100998684,0.960727180808001,0.79425033666228,0.137056086538355,0.0490728569381155,0.358049453895523,1.09098066461747,0.434997220285882,0.398721292130694
"Chaetodon flavocoronatus",4,0.129127575757576,0.133181818181818,0.125073333333333,1.06482984527865,3.00946949161961,3.59009485728097,0.752367372904904,0.598349142880162,0.142647237334255,0.0857416635433085,0.601074827284572,0.862549159002365,0.316949108979413,0.367456284284134
"Chaetodon fremblii",4,0.159706152597403,0.145194805194805,0.1742175,0.833411139494053,2.66180367839809,3.00535420942251,0.665450919599522,0.500892368237085,0.125980065382214,0.0612317915374809,0.486043497054143,0.799989746812958,0.491968597958634,0.614968629183767
"Chaetodon gardineri",3,0.112076923076923,0.11,0.114153846153846,0.963611859838275,2.36622643840525,2.43720171431392,0.788742146135083,0.812400571437975,0.487089123926414,0.212096889189698,0.435437538576081,0.795139615323731,0.479745292037355,0.603347239644239
"Chaetodon guentheri",4,0.132401493670886,0.131518987341772,0.133284,0.986757505340267,2.690942901046,3.59538198285542,0.672735725261499,0.599230330475903,0.104108219153435,0.0362123768312923,0.347833985882732,0.867394713478616,0.543572554564178,0.626672662534712
"Chaetodon guttatissimus",4,0.228943055555556,0.229375,0.228511111111111,1.00378051152387,2.81551174521519,4.41651759280902,0.703877936303798,0.736086265468169,0.0510666867479227,0.0346228899213871,0.677993661352926,1.05053782197644,0.490061434973938,0.466486236594468
"Chaetodon hoefleri",4,0.130500658327847,0.138225806451613,0.122775510204082,1.12584184111187,3.37716502283189,2.91923638557342,0.844291255707971,0.486539397595569,0.181743395307091,0.106886149556413,0.588115729739767,0.88120351919414,0.341204526216782,0.387202863793387
"Chaetodon humeralis",3,0.121809491019682,0.125945945945946,0.117673036093418,1.07030421009924,1.99430682942289,2.61475025316005,0.664768943140962,0.871583417720017,0.333678661543403,0.114376696064788,0.342774978584929,1.03958932521835,0.55122642582567,0.530234788347689
"Chaetodon interruptus",3,0.0885344444444444,0.0925,0.0845688888888889,1.09378284633172,2.56713853117764,2.26112401281512,0.855712843725879,0.753708004271708,0.175210955385947,0.25337328964477,1.44610414963294,0.865251019926208,0.443276959499894,0.512310242104884
"Chaetodon kleinii",4,0.132403380952381,0.141071428571429,0.123735333333333,1.14010626367646,2.71132983119897,3.52105103204654,0.677832457799742,0.586841838674423,0.154965486904957,0.0841677311212141,0.543138558154151,0.737628727810264,0.434596063611662,0.589179959004322
"Chaetodon larvatus",4,0.211698841698842,0.218857142857143,0.204540540540541,1.06999395952884,3.59058165517607,3.82285600902202,0.897645413794018,0.637142668170336,0.159672265706033,0.0635406711266785,0.397944319545517,0.764963135754636,0.408797944752704,0.534402150437516
"Chaetodon leucopleura",4,0.135527310344828,0.142758620689655,0.128296,1.11272853939059,2.60978635748922,3.59973151067036,0.652446589372304,0.599955251778394,0.199948352856494,0.182473769787591,0.912604516019972,0.965941529497934,0.380698708741665,0.394121897771121
"Chaetodon lineolatus",4,0.117733333333333,0.135066666666667,0.1004,1.34528552456839,2.84218807554309,4.04772510175264,0.710547018885771,0.674620850292106,0.144081100475261,0.103815572112289,0.720535668938168,1.15090279363595,0.505885856071146,0.439555676524988
"Chaetodon litus",2,0.10518380952381,0.104047619047619,0.10632,0.978626966211617,1.96320383959935,1,0.981601919799673,1,0.112624815359387,NA,NA,1.34456881613925,NA,NA
"Chaetodon lunula",4,0.157930620155039,0.161627906976744,0.154233333333333,1.04794406944074,2.81276771399035,3.93368047681598,0.703191928497589,0.655613412802663,0.064429580649018,0.0253534872116657,0.393506941319074,0.799763092598395,0.367844282115891,0.45994155709384
"Chaetodon lunulatus",3,0.131200882113821,0.114756097560976,0.147645666666667,0.777239861837974,2.39227078797572,1.95176608636486,0.797423595991905,0.650588695454952,0.121309127803928,0.0478179340569629,0.394182489995733,0.825377146361164,0.471276896832662,0.570983699888442
"Chaetodon madagaskariensis",4,0.125276969512195,0.14390243902439,0.1066515,1.34927721620784,2.79632103295866,2.64119702092061,0.699080258239665,0.440199503486768,0.112896430375169,0.145235330930897,1.28644750279758,1.2227473620067,0.655049043367031,0.535719040351888
"Chaetodon marleyi",3,0.0883477142857143,0.0969047619047619,0.0797906666666667,1.21448743259147,2.38010957004414,2.12845456210709,0.793369856681378,0.709484854035698,0.155375386367906,0.0501601246332181,0.32283185777216,1.15012221843694,0.278033872642984,0.241742893221247
"Chaetodon melannotus",4,0.182342632352941,0.171411764705882,0.1932735,0.886887052316445,2.63598835918353,4.26922636103152,0.658997089795883,0.711537726838587,0.145797239818831,0.105209680710938,0.721616409485338,0.860469809400102,0.359551239470869,0.417854566822675
"Chaetodon melapterus",3,0.0520831358024691,0.0549382716049383,0.049228,1.11599641677375,2.77104058592494,2.83119019855278,0.923680195308313,0.943730066184262,0.421592138612592,0.114775419926345,0.272242789687817,1.37372177155872,0.861784878800138,0.627335823485056
"Chaetodon mertensii",4,0.190502023809524,0.210119047619048,0.170885,1.22959327980248,2.9338260076524,3.95079001508339,0.733456501913099,0.658465002513898,0.165989252342433,0.109046491846369,0.656949111508784,0.985476421180778,0.37083183541435,0.376297014767767
"Chaetodon mesoleucos",4,0.199375,0.252875,0.145875,1.73350471293916,3.82402368791473,2.30341697322757,0.956005921978684,0.383902828871261,0.266809570119373,0.172190629743514,0.645369016060684,0.77659085087556,0.404494236005433,0.520858873819322
"Chaetodon meyeri",3,0.186764411764706,0.185058823529412,0.18847,0.981900692573947,2.23971545910819,2.64829259832512,0.74657181970273,0.882764199441707,0.134286867500597,0.0687759295868695,0.512156779489725,1.3355161619397,0.596491005273881,0.446637054850418
"Chaetodon miliaris",4,0.143594831238526,0.147808219178082,0.139381443298969,1.0604583772392,2.76469790500334,3.37242015361484,0.691174476250835,0.562070025602474,0.128244216295875,0.119098443524243,0.928684715492105,0.820801559314447,0.466595705967899,0.568463474116217
"Chaetodon mitratus",2,0.0436546666666667,0.0483333333333333,0.038976,1.24007936507936,1.51330000137505,1,0.756650000687524,1,0.140424334568941,NA,NA,1.7501092543881,NA,NA
"Chaetodon modestus",3,0.115592204081633,0.131020408163265,0.100164,1.3080588650939,2.67348998618771,1.94770569470206,0.891163328729237,0.649235231567355,0.0448168390653885,0.0169445859928412,0.378085254252732,0.841640729934447,0.312526830878371,0.371330449873443
"Chaetodon multicinctus",4,0.206180938271605,0.219876543209877,0.192485333333333,1.14230284147992,2.8387489359559,3.54571630805802,0.709687233988976,0.59095271800967,0.0462160314688107,0.0194585115140978,0.421033803545628,0.923130964296994,0.389043776905811,0.421439418622563
"Chaetodon nigropunctatus",3,0.129192592592593,0.125185185185185,0.1332,0.939828717606495,2.6827054919287,2.00822739938336,0.894235163976233,0.669409133127786,0.0976881300513974,0.0301950137895745,0.309096036270607,1.07994318346979,0.623411115098914,0.577262882567519
"Chaetodon nippon",4,0.199973790697674,0.207325581395349,0.192622,1.07633386318982,3.5878268082846,3.68644875669021,0.89695670207115,0.614408126115035,0.0960959033458692,0.0733013887161793,0.762794106345536,0.6725912113183,0.361407252683113,0.537335675223504
"Chaetodon ocellatus",3,0.0394991246539556,0.0356626506024096,0.0433355987055016,0.822941223098462,1.81875121146678,2.0667238314538,0.606250403822259,0.688907943817933,0.409170278599266,0.0873229268544661,0.213414637918969,1.14654127841053,0.325207622753863,0.283642315263786
"Chaetodon ocellicaudus",4,0.140876952380952,0.141428571428571,0.140325333333333,1.00786200231299,2.41528886895706,4.56587302753012,0.603822217239265,0.760978837921687,0.174079701509016,0.111256445087617,0.639112108552499,1.09621771161805,0.473220805959136,0.431685057579163
"Chaetodon octofasciatus",3,0.109653500915751,0.145164835164835,0.0741421666666667,1.95792545175375,2.0975205994456,1.98396673991709,0.699173533148534,0.66132224663903,0.157209404085906,0.051367345076747,0.326744734994846,1.16230297962907,0.384185165902268,0.330537882665393
"Chaetodon ornatissimus",4,0.178748255813953,0.166046511627907,0.19145,0.867310063347647,3.03263427750933,4.15515180872141,0.758158569377332,0.692525301453568,0.128368197180438,0.115528953412398,0.899981116428764,0.942306837844769,0.525177114503067,0.557331320766222
"Chaetodon oxycephalus",4,0.257929830217064,0.267727272727273,0.248132387706856,1.07896947754989,3.11131567511693,2.27701908630473,0.777828918779233,0.379503181050789,0.164384533294139,0.266441997617075,1.6208459048901,0.625557946244184,0.332155703367809,0.530975116473309
"Chaetodon paucifasciatus",4,0.195103148148148,0.216296296296296,0.17391,1.24372546889941,3.0667944178265,3.72641839201558,0.766698604456626,0.621069732002596,0.120240233746542,0.0811103356440396,0.674569011692161,0.923291558284225,0.451959414086611,0.489508877267868
"Chaetodon pelewensis",3,0.140782243902439,0.138780487804878,0.142784,0.971961058696199,2.46761403375112,2.46858095832596,0.822538011250373,0.822860319441986,0.135671272229791,0.0656375622705314,0.48379853149279,0.87113567225749,0.347966829620029,0.399440455375104
"Chaetodon pictus",4,0.181990014084507,0.186338028169014,0.177642,1.04895254595768,3.39151908972462,2.84903234462171,0.847879772431155,0.474838724103619,0.119434534832402,0.13730151289084,1.14959641349556,0.474135860261845,0.486857432042221,1.02683106857463
"Chaetodon plebeius",3,0.107217491341991,0.0993506493506493,0.115084333333333,0.863285613888795,2.42089958652391,2.29781243231536,0.806966528841302,0.765937477438452,0.240843647942443,0.133122705074706,0.552734963998388,1.21210076113787,0.400085328289075,0.330075964900386
