"species","gestalt_k","m","m_r","m_c","A","Sc","St","Jc","Jt","m_dS","s_dS","cv_dS","m_dL","s_dL","cv_dL"
"Amphichaetodon howensis",3,0.0896339110486891,0.112808988764045,0.0664588333333333,1.6974265587576,1.66794947795561,2.02103424685354,0.555983159318536,0.673678082284515,0,0,NA,1.20794979572855,0.416510864371256,0.344808092061512
"Amphichaetodon melbae",4,0.0838854534320548,0.101830985915493,0.0659399209486166,1.54429948429638,1.41753731840633,4.83900791029296,0.354384329601582,0.806501318382161,0,0,NA,0.947542506132152,0.491797627669487,0.519024344012802
"Chaetodon adiergastos",4,0.178486666666667,0.175,0.181973333333333,0.961679366940211,3.02553440093563,3.21071815694524,0.756383600233907,0.535119692824206,0,0,NA,0.878289434348028,0.54544795939073,0.621034408543952
"Chaetodon andamanensis",2,0.0723854767932489,0.0655696202531646,0.0792013333333333,0.827885308157664,1.83460661283821,1,0.917303306419107,1,0,NA,NA,1.18404186119805,NA,NA
"Chaetodon argentatus",2,0.0970544789272031,0.102528735632184,0.0915802222222222,1.11955106838892,1.56600432001192,1,0.783002160005959,1,0,NA,NA,1.8843971863313,NA,NA
"Chaetodon assarius",3,0.107561412665275,0.107466666666667,0.107656158663883,0.998239840622513,1.65241729702837,1.96151042173203,0.550805765676123,0.653836807244009,0,0,NA,1.03369241038323,0.580003149547585,0.561098392250508
"Chaetodon aureofasciatus",3,0.0911295610561056,0.0945544554455446,0.0877046666666667,1.0781006192625,2.59116396070677,2.24689441408703,0.863721320235589,0.748964804695676,0,0,NA,1.20344014379016,0.461272119422802,0.383294609044746
"Chaetodon auriga",3,0.0868345964912281,0.0892105263157895,0.0844586666666667,1.05626254636338,2.46928358285524,2.10087681222328,0.823094527618413,0.700292270741094,0,0,NA,1.24215049133372,0.442706556307708,0.356403317791524
"Chaetodon auripes",3,0.170323333333333,0.16625,0.174396666666667,0.953286568932892,2.51408219933168,2.57806723793841,0.838027399777226,0.859355745979471,0,0,NA,1.11343590292701,0.437616766273443,0.393032742273743
"Chaetodon austriacus",3,0.149401513361463,0.130126582278481,0.168676444444444,0.771456753828717,2.97605394797566,2.40398723716532,0.992017982658553,0.801329079055106,0,0,NA,1.02166650664819,0.401256749214387,0.392747287498737
"Chaetodon baronessa",3,0.135388888888889,0.146111111111111,0.124666666666667,1.17201426024955,2.80061430956248,2.3562372373123,0.933538103187493,0.785412412437432,0,0,NA,1.28351782720522,0.547770921914715,0.426773131081047
"Chaetodon bennetti",3,0.121042480620155,0.126511627906977,0.115573333333333,1.09464375784763,2.59003687475701,2.05772636968148,0.863345624919003,0.685908789893827,0,0,NA,0.890744936182341,0.575567931301113,0.646164696448289
"Chaetodon blackburnii",3,0.122488540540541,0.121081081081081,0.123896,0.977279985480412,2.9481522525746,2.2835362250325,0.982717417524867,0.761178741677501,0,0,NA,1.06264247876782,0.446136046660325,0.419836450710723
"Chaetodon burgessi",2,0.203952059052059,0.199871794871795,0.208032323232323,0.960772786489458,1.85261875761267,1,0.926309378806334,1,0,NA,NA,1.31599460223423,NA,NA
"Chaetodon capistratus",4,0.253346064082278,0.239620253164557,0.267071875,0.897212606773203,3.7303017533793,4.02713680823285,0.932575438344824,0.671189468038809,0,0,NA,0.869417771374107,0.447374572764795,0.514568010333771
"Chaetodon citrinellus",3,0.156322017316017,0.151298701298701,0.161345333333333,0.937732118883934,2.92146880946475,2.31603498729214,0.973822936488251,0.772011662430713,0,0,NA,0.714717099999389,0.29866193847416,0.41787434283357
"Chaetodon collare",4,0.243993818181818,0.258863636363636,0.229124,1.12979712454233,3.81310168740582,3.27346886017626,0.953275421851456,0.54557814336271,0,0,NA,0.765215296276689,0.400387535195655,0.523235143290813
"Chaetodon daedalma",3,0.22590953815261,0.240602409638554,0.211216666666667,1.13912606157289,2.75676909063596,2.48553562621297,0.918923030211986,0.828511875404323,0,0,NA,1.38662319094391,0.574710033511957,0.414467345754356
"Chaetodon declivis",4,0.140408444444444,0.15125,0.129566888888889,1.16735071203034,2.5982777417987,4.12037781242077,0.649569435449675,0.686729635403462,0,0,NA,1.04640546986589,0.51403047334663,0.491234505313229
"Chaetodon decussatus",4,0.11022680827347,0.116931818181818,0.103521798365123,1.12953812654411,1.83782285960206,3.77370256801449,0.459455714900514,0.628950428002416,0,0,NA,0.940436914017023,0.387168773298279,0.411690319177827
"Chaetodon dialeucos",3,0.169116341463415,0.183292682926829,0.15494,1.18299137038098,2.88541784317677,1.97512043450174,0.961805947725589,0.658373478167246,0,0,NA,1.17409732974063,0.421308511195889,0.358836103723155
"Chaetodon dolosus",4,0.213733230769231,0.218205128205128,0.209261333333333,1.04273983506331,3.53524230994731,3.19163290893665,0.883810577486829,0.531938818156109,0,0,NA,0.760622231267764,0.295646839267415,0.388690768050056
"Chaetodon ephippium",5,0.150108595358081,0.146849315068493,0.153367875647668,0.957497223250648,2.68973780987001,5.9201171807,0.537947561974002,0.59201171807,0,0,NA,0.95088695575619,0.724003611654102,0.761398194886731
"Chaetodon excelsa",3,0.111553528052805,0.127227722772277,0.0958793333333333,1.32695668971705,2.4867042619493,1.84381770741086,0.828901420649765,0.614605902470288,0,0,NA,0.859547071185167,0.328332589213943,0.381983256322692
"Chaetodon falcula",4,0.131484308641975,0.160617283950617,0.102351333333333,1.5692739773846,2.49582659448741,4.18222448433692,0.623956648621852,0.697037414056153,0,0,NA,0.994845347328401,0.531139979184789,0.53389200704525
"Chaetodon fasciatus",3,0.157292146341463,0.134268292682927,0.180316,0.744627724011884,2.49594483204674,2.19721528600393,0.831981610682248,0.732405095334642,0,0,NA,1.02399831675826,0.321262013400363,0.313732950672617
"Chaetodon flavirostris",3,0.126603166666667,0.130333333333333,0.122873,1.06071580683578,2.92605596483011,2.33688587395524,0.975351988276703,0.778961957985081,0,0,NA,1.09480722087887,0.508153709276964,0.4641490296977
"Chaetodon flavocoronatus",4,0.135051313131313,0.139318181818182,0.130784444444444,1.06525040045846,2.95938081682274,3.461825425905,0.739845204205684,0.5769709043175,0,0,NA,0.865643520011054,0.298782525227324,0.345156543450482
"Chaetodon fremblii",4,0.145031201298701,0.142597402597403,0.147465,0.966991507119673,2.63585969526457,3.02301493729842,0.658964923816142,0.503835822883071,0,0,NA,0.824204177283657,0.511275671949563,0.620326474969567
"Chaetodon gardineri",3,0.118153846153846,0.123538461538462,0.112769230769231,1.09549795361528,1.91536264093556,2.17420585551962,0.638454213645186,0.724735285173205,0,0,NA,0.673968739888277,0.20649117647133,0.306380940613892
"Chaetodon guentheri",4,0.142572535864979,0.141392405063291,0.143752666666667,0.983581093428698,2.69882084750672,3.49818834407487,0.67470521187668,0.583031390679144,0,0,NA,0.847555503804187,0.534324513664033,0.630430114919623
"Chaetodon guttatissimus",4,0.230508888888889,0.231,0.230017777777778,1.00427020133709,2.79388554655779,4.51211190719891,0.698471386639447,0.752018651199818,0,0,NA,1.072193552728,0.497282052457412,0.463798771399222
"Chaetodon hoefleri",4,0.116538841342989,0.125322580645161,0.107755102040816,1.16303152492669,3.42916254747883,3.00810233237044,0.857290636869706,0.501350388728406,0,0,NA,0.870242448263907,0.356923905073378,0.410143065056669
"Chaetodon humeralis",3,0.137863659838182,0.143243243243243,0.132484076433121,1.08121101871102,1.8292684556351,2.31765220763827,0.609756151878365,0.772550735879422,0,0,NA,0.924434415378042,0.539312317524852,0.583397057220445
"Chaetodon interruptus",3,0.0897846349206349,0.0942857142857143,0.0852835555555556,1.10555562173172,2.56935604494538,2.27984568866646,0.856452014981793,0.759948562888819,0,0,NA,0.993713884583612,0.519413589908809,0.52269933827729
"Chaetodon kleinii",4,0.15538380952381,0.162380952380952,0.148386666666667,1.09430959013132,2.77177518923376,2.94353264757565,0.69294379730844,0.490588774595942,0,0,NA,0.709130689735576,0.481073127023814,0.678398402420291
"Chaetodon larvatus",4,0.209620978120978,0.216142857142857,0.203099099099099,1.06422361350502,3.35527638438704,3.92401151546794,0.838819096096759,0.654001919244656,0,0,NA,0.791142782083445,0.396461842690171,0.501125525845163
"Chaetodon leucopleura",4,0.13766167816092,0.145287356321839,0.130036,1.11728564645051,2.59437862009906,3.65209695137728,0.648594655024765,0.608682825229547,0,0,NA,0.980794677822046,0.406192566583227,0.414146381264241
"Chaetodon lineolatus",4,0.145133333333333,0.167466666666667,0.1228,1.36373507057546,2.83092707048722,4.16690097812946,0.707731767621804,0.694483496354911,0,0,NA,1.01031752596721,0.508981000445182,0.503783204154473
