species,in_tree,n_fishpix,n_fishbase,n_bishop,n_fishbase_extra,n_inaturalist,n_total,sources
Amphichaetodon howensis,yes,0,1,3,3,10,17,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Amphichaetodon melbae,yes,0,1,1,0,4,6,FishBase + BishopMuseum + iNaturalist
Chaetodon adiergastos,yes,1,0,1,5,10,17,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon andamanensis,no,1,0,1,3,10,15,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon argentatus,yes,1,0,2,5,10,18,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon assarius,yes,0,1,0,0,10,11,FishBase + iNaturalist
Chaetodon aureofasciatus,yes,0,1,1,2,10,14,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon auriga,no,1,0,6,16,10,33,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon auripes,yes,1,0,2,8,10,21,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon austriacus,yes,0,1,1,3,10,15,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon baronessa,yes,1,0,4,9,10,24,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon bennetti,yes,1,0,2,6,10,19,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon blackburnii,yes,0,1,3,5,10,19,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon burgessi,yes,1,0,0,5,9,15,FishPix + FishBase_extra + iNaturalist
Chaetodon capistratus,yes,0,1,0,4,10,15,FishBase + FishBase_extra + iNaturalist
Chaetodon citrinellus,yes,1,0,5,7,10,23,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon collare,yes,1,0,2,9,10,22,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon daedalma,no,1,0,1,2,5,9,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon declivis,yes,0,1,3,5,1,10,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon decussatus,yes,0,1,1,5,10,17,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon dialeucos,yes,0,1,1,2,3,7,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon dolosus,no,0,1,1,2,10,14,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon ephippium,yes,1,0,2,8,10,21,FishPix + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon excelsa,no,0,0,1,0,0,1,BishopMuseum
