tip_label,img_path,img_path_2,img_path_3
Amphichaetodon_howensis_M967,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Amphichaetodon_howensis_Bishop_-1464681654.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Amphichaetodon_howensis_iNaturalist_11105384.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Amphichaetodon_howensis_FishBase_Amhow_u3.jpg
Amphichaetodon_melbae_FMNH107370,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Amphichaetodon_melbae_Bishop_-1115161976.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Amphichaetodon_melbae_iNaturalist_462963831.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Amphichaetodon_melbae_FishBase_Ammel_u0.jpg
Chaetodon_adiergastos_CHD01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_adiergastos_Bishop_1979529705.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_adiergastos_iNaturalist_18099243.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_adiergastos_FishPix_28455AF.jpg
Chaetodon_argentatus_M1589,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_argentatus_Bishop_1074668308.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_argentatus_iNaturalist_263052559.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_argentatus_FishPix_2068AF.jpg
Chaetodon_assarius_M1684,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_assarius_iNaturalist_151182609.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_assarius_FishBase_Chass_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_assarius_iNaturalist_176862632.jpg
Chaetodon_aureofasciatus_M1637,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_aureofasciatus_Bishop_1459626629.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_aureofasciatus_iNaturalist_175593141.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_aureofasciatus_FishBase_Chaur_ui.jpg
Chaetodon_auriga2,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_auriga_Bishop_-2122348146.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_auriga_iNaturalist_15056180.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_auriga_FishPix_12061AF.jpg
Chaetodon_auripes_CEU01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_auripes_Bishop_-346327811.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_auripes_iNaturalist_176256724.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_auripes_FishPix_140765AF.jpg
Chaetodon_austriacus_CAI02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_austriacus_Bishop_-1737564550.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_austriacus_iNaturalist_102813626.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_austriacus_FishBase_Chaus_u1.jpg
Chaetodon_baronessa_CBN01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_baronessa_Bishop_-2122794458.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_baronessa_iNaturalist_160681551.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_baronessa_FishPix_23026AF.jpg
